timestamp(ms),DPTH.Depth,DPTH.Lng,DPTH.Lat
236028.372,2.421999931335449,-807317153,353037045
236128.372,2.422999858856201,-807317153,353037047
236228.372,2.423999786376953,-807317153,353037050
236328.372,2.429999828338623,-807317153,353037052
236428.372,2.430999994277954,-807317153,353037056
236528.372,2.436000108718872,-807317153,353037059
236628.372,2.438999891281128,-807317153,353037065
236728.372,2.436000108718872,-807317153,353037068
236828.372,2.436000108718872,-807317153,353037068
236928.372,2.437999963760376,-807317152,353037073
237028.372,2.441999912261963,-807317152,353037076
237128.372,2.443000078201294,-807317152,353037079
237228.372,2.444999933242798,-807317151,353037084
237328.372,2.450000047683716,-807317151,353037088
237428.372,2.4589998722076416,-807317151,353037093
237528.372,2.4619998931884766,-807317151,353037099
237628.372,2.4609999656677246,-807317151,353037104
237728.372,2.4649999141693115,-807317151,353037111
237828.372,2.4689998626708984,-807317151,353037119
237928.372,2.4819998741149902,-807317150,353037132
238028.372,2.4819998741149902,-807317150,353037132
238128.372,2.488999843597412,-807317150,353037147
238228.372,2.494999885559082,-807317150,353037156
238328.372,2.49399995803833,-807317150,353037165
238428.372,2.497999906539917,-807317149,353037172
238528.372,2.5,-807317149,353037181
238628.372,2.503000020980835,-807317147,353037190
238728.372,2.506999969482422,-807317147,353037197
238828.372,2.510999917984009,-807317145,353037205
238928.372,2.513000011444092,-807317145,353037214
239028.372,2.5149998664855957,-807317145,353037221
239128.372,2.5199999809265137,-807317143,353037230
239228.372,2.5199999809265137,-807317142,353037238
239328.372,2.5249998569488525,-807317141,353037253
239428.372,2.5309998989105225,-807317141,353037262
239528.372,2.5339999198913574,-807317141,353037269
239628.372,2.5369999408721924,-807317141,353037277
239728.372,2.5419998168945312,-807317141,353037285
239828.372,2.549999952316284,-807317141,353037292
239928.372,2.554999828338623,-807317141,353037300
240028.372,2.558000087738037,-807317141,353037308
240128.372,2.561000108718872,-807317140,353037315
240228.372,2.571000099182129,-807317140,353037323
240328.372,2.5779998302459717,-807317140,353037332
240428.372,2.5850000381469727,-807317140,353037338
240528.372,2.5929999351501465,-807317140,353037346
240628.372,2.6029999256134033,-807317140,353037354
240728.372,2.613999843597412,-807317139,353037369
240828.372,2.621999979019165,-807317138,353037377
240928.372,2.628999948501587,-807317137,353037384
241028.372,2.634999990463257,-807317136,353037392
241128.372,2.6389999389648438,-807317136,353037400
241228.372,2.6470000743865967,-807317135,353037407
241328.372,2.6579997539520264,-807317135,353037415
241428.372,2.6610000133514404,-807317134,353037423
241528.372,2.6670000553131104,-807317134,353037430
241628.372,2.672999858856201,-807317134,353037439
241728.372,2.6720001697540283,-807317134,353037447
241828.372,2.673999786376953,-807317133,353037453
241928.372,2.674999952316284,-807317133,353037461
242028.372,2.6760001182556152,-807317133,353037469
242128.372,2.674999952316284,-807317133,353037484
242228.372,2.67799973487854,-807317134,353037492
242328.372,2.67799973487854,-807317134,353037500
242428.372,2.674999952316284,-807317134,353037507
242528.372,2.6760001182556152,-807317135,353037515
242628.372,2.674999952316284,-807317135,353037524
242728.372,2.677000045776367,-807317135,353037530
242828.372,2.677000045776367,-807317136,353037539
242928.372,2.68399977684021,-807317136,353037548
243028.372,2.690999984741211,-807317136,353037555
243128.372,2.688999891281128,-807317136,353037564
243228.372,2.684999942779541,-807317136,353037573
243328.372,2.688999891281128,-807317136,353037580
243428.372,2.686000108718872,-807317136,353037589
243528.372,2.686000108718872,-807317136,353037598
243628.372,2.692000150680542,-807317136,353037614
243728.372,2.692999839782715,-807317135,353037623
243828.372,2.692999839782715,-807317135,353037630
243928.372,2.696000099182129,-807317135,353037640
244028.372,2.693999767303467,-807317134,353037649
244128.372,2.690999984741211,-807317134,353037656
244228.372,2.692999839782715,-807317134,353037665
244328.372,2.693999767303467,-807317134,353037674
244428.372,2.694999933242798,-807317133,353037681
244528.372,2.6979997158050537,-807317133,353037690
244628.372,2.6989998817443848,-807317133,353037699
244728.372,2.7029998302459717,-807317133,353037708
244828.372,2.7029998302459717,-807317133,353037716
244928.372,2.7009999752044678,-807317133,353037725
245028.372,2.7039999961853027,-807317133,353037734
245128.372,2.7049999237060547,-807317134,353037750
245228.372,2.7070000171661377,-807317135,353037759
245328.372,2.7070000171661377,-807317135,353037767
245428.372,2.7089998722076416,-807317135,353037776
245528.372,2.7089998722076416,-807317135,353037785
245628.372,2.7129998207092285,-807317135,353037792
245728.372,2.7189998626708984,-807317135,353037800
245828.372,2.7179999351501465,-807317135,353037809
245928.372,2.7220001220703125,-807317135,353037818
246028.372,2.7289998531341553,-807317135,353037825
246128.372,2.734999895095825,-807317135,353037834
246228.372,2.740000009536743,-807317134,353037842
246328.372,2.753999948501587,-807317134,353037850
246428.372,2.757999897003174,-807317133,353037858
246528.372,2.7669999599456787,-807317133,353037867
246628.372,2.7729997634887695,-807317131,353037884
246728.372,2.7739999294281006,-807317131,353037893
246828.372,2.7820000648498535,-807317130,353037900
246928.372,2.7939999103546143,-807317130,353037909
247028.372,2.794999837875366,-807317130,353037918
247128.372,2.798999786376953,-807317129,353037927
247228.372,2.803999900817871,-807317129,353037934
247328.372,2.804999828338623,-807317129,353037942
247428.372,2.809999942779541,-807317129,353037950
247528.372,2.809999942779541,-807317129,353037956
247628.372,2.813999891281128,-807317128,353037964
247728.372,2.817999839782715,-807317128,353037971
247828.372,2.8289997577667236,-807317128,353037976
247928.372,2.8329997062683105,-807317128,353037981
248028.372,2.8389999866485596,-807317127,353037986
248128.372,2.8359999656677246,-807317127,353037992
248228.372,2.8379998207092285,-807317126,353037995
248328.372,2.8370001316070557,-807317125,353037997
248428.372,2.8439998626708984,-807317124,353037998
248528.372,2.8420000076293945,-807317123,353038000
248628.372,2.8489999771118164,-807317123,353038001
248728.372,2.8570001125335693,-807317122,353038002
248828.372,2.861999988555908,-807317122,353038003
248928.372,2.865000009536743,-807317121,353038004
249028.372,2.867999792098999,-807317121,353038004
249128.372,2.873999834060669,-807317121,353038005
